City,State,Housing type,Project,Units,Sq. ft. per unit,Population density,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Portland,OR,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",3.17,2.9,3.44,2.9–3.44,1.02,0.88,1.15,0.88–1.15,17
San Diego,CA,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",3.1,2.83,3.37,2.83–3.37,0.89,0.76,1.01,0.76–1.01,18
Durham,NC,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",3,2.59,3.4,2.59–3.4,0.5,0.37,0.63,0.37–0.63,19
Louisville,KY,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.98,2.6,3.37,2.6–3.37,0.88,0.68,1.09,0.68–1.09,20
Jersey City,NJ,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.92,2.23,3.61,2.23–3.61,0.33,0.13,0.54,0.13–0.54,21
Denver,CO,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.92,2.75,3.09,2.75–3.09,0.67,0.57,0.77,0.57–0.77,22
Washington,DC,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.74,2.37,3.11,2.37–3.11,0.8,0.63,0.97,0.63–0.97,23
Cleveland,OH,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.66,2.18,3.15,2.18–3.15,0.77,0.54,0.99,0.54–0.99,24
Houston,TX,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.65,2.53,2.77,2.53–2.77,0.57,0.51,0.63,0.51–0.63,25
Tampa,FL,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.57,2.08,3.06,2.08–3.06,0.47,0.32,0.62,0.32–0.62,26
Cincinnati,OH,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.52,2.03,3.01,2.03–3.01,0.46,0.29,0.64,0.29–0.64,27
Phoenix,AZ,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.41,2.2,2.61,2.2–2.61,0.39,0.31,0.46,0.31–0.46,28
Jacksonville,FL,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.38,2.18,2.58,2.18–2.58,0.42,0.36,0.49,0.36–0.49,29
Fort Worth,TX,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.38,2.27,2.48,2.27–2.48,0.47,0.4,0.54,0.4–0.54,30
Indianapolis,IN,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.36,2.11,2.61,2.11–2.61,0.55,0.43,0.68,0.43–0.68,31
Columbus,OH,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.35,2.16,2.55,2.16–2.55,0.4,0.35,0.45,0.35–0.45,32
Kansas City,MO,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.34,1.98,2.69,1.98–2.69,0.21,0.11,0.3,0.11–0.3,33
Atlanta,GA,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.27,2.04,2.51,2.04–2.51,0.22,0.17,0.27,0.17–0.27,34
Reno,NV,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.26,1.93,2.58,1.93–2.58,0.39,0.21,0.57,0.21–0.57,35
Grand Rapids,MI,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.22,1.96,2.48,1.96–2.48,0.35,0.22,0.47,0.22–0.47,36
Raleigh,NC,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.14,1.95,2.34,1.95–2.34,0.38,0.28,0.47,0.28–0.47,37
Sioux Falls,SD,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",2.01,1.65,2.38,1.65–2.38,0.24,0.16,0.33,0.16–0.33,38
Boise,ID,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",1.93,1.57,2.29,1.57–2.29,0.36,0.26,0.45,0.26–0.45,39
St. Paul,MN,Multifamily,"150 units, 1,500 sq. ft. each",150,1500,"4,000/sq. mi.","$80,000",1.83,1.47,2.18,1.47–2.18,0.34,0.21,0.46,0.21–0.46,40
Miami,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",3.44,3.17,3.71,3.17–3.71,1.27,1.15,1.39,1.15–1.39,1
San Francisco,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",3.17,2.75,3.6,2.75–3.6,0.92,0.74,1.1,0.74–1.1,2
Philadelphia,PA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",2.75,2.45,3.05,2.45–3.05,0.22,0.16,0.27,0.16–0.27,3
Pittsburgh,PA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",2.72,2.12,3.32,2.12–3.32,1.17,0.78,1.56,0.78–1.56,4
Oakland,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",2.6,2.33,2.87,2.33–2.87,0.41,0.34,0.47,0.34–0.47,5
Los Angeles,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",2.53,2.48,2.58,2.48–2.58,0.83,0.81,0.86,0.81–0.86,6
Boston,MA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",2.5,2.08,2.92,2.08–2.92,1.24,0.89,1.58,0.89–1.58,7
New York,NY,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",2.24,2.16,2.31,2.16–2.31,0.66,0.63,0.7,0.63–0.7,8
Honolulu,HI,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",2.23,2.17,2.3,2.17–2.3,0.71,0.69,0.74,0.69–0.74,9
San Jose,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",2.19,1.68,2.71,1.68–2.71,0.37,0.16,0.57,0.16–0.57,10
Providence,RI,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",2.16,1.58,2.73,1.58–2.73,0.15,0.1,0.21,0.1–0.21,11
Boulder,CO,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",2.02,1.71,2.34,1.71–2.34,0.47,0.38,0.56,0.38–0.56,12
San Diego,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",2,1.9,2.1,1.9–2.1,0.6,0.56,0.64,0.56–0.64,13
Seattle,WA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.96,1.88,2.04,1.88–2.04,0.6,0.56,0.64,0.56–0.64,14
Buffalo,NY,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.92,1.33,2.51,1.33–2.51,0.61,0.31,0.92,0.31–0.92,15
St. Paul,MN,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.91,1.52,2.3,1.52–2.3,0.14,0.12,0.17,0.12–0.17,16
Fort Lauderdale,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.8,1.57,2.04,1.57–2.04,0.49,0.4,0.58,0.4–0.58,17
Cleveland,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.67,1.52,1.82,1.52–1.82,0.55,0.48,0.61,0.48–0.61,18
Baltimore,MD,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.63,1.24,2.02,1.24–2.02,0.76,0.5,1.03,0.5–1.03,19
Houston,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.51,1.43,1.59,1.43–1.59,0.29,0.26,0.32,0.26–0.32,20
Anaheim,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.43,1.26,1.61,1.26–1.61,0.57,0.48,0.66,0.48–0.66,21
Albuquerque,NM,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.42,1.33,1.51,1.33–1.51,0.09,0.08,0.1,0.08–0.1,22
Cincinnati,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.41,1.31,1.51,1.31–1.51,0.23,0.2,0.26,0.2–0.26,23
Sacramento,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.39,1.32,1.46,1.32–1.46,0.42,0.39,0.45,0.39–0.45,24
Ann Arbor,MI,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.29,1.1,1.47,1.1–1.47,0.22,0.15,0.29,0.15–0.29,25
Atlanta,GA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.24,1.19,1.29,1.19–1.29,0.39,0.35,0.43,0.35–0.43,26
Sioux Falls,SD,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.2,0.94,1.46,0.94–1.46,0.05,0.02,0.07,0.02–0.07,27
Portland,OR,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.19,1.16,1.23,1.16–1.23,0.48,0.46,0.5,0.46–0.5,28
Austin,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.17,1.12,1.22,1.12–1.22,0.21,0.19,0.23,0.19–0.23,29
Spokane,WA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.09,1.02,1.17,1.02–1.17,0.08,0.07,0.08,0.07–0.08,30
Jacksonville,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1.06,1.02,1.1,1.02–1.1,0.16,0.15,0.17,0.15–0.17,31
Omaha,NE,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",1,0.94,1.07,0.94–1.07,0.03,0.02,0.03,0.02–0.03,32
Reno,NV,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.96,0.8,1.12,0.8–1.12,0.34,0.21,0.46,0.21–0.46,33
New Orleans,LA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.91,0.87,0.95,0.87–0.95,0.11,0.1,0.12,0.1–0.12,34
Tulsa,OK,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.91,0.81,1.01,0.81–1.01,0.08,0.07,0.1,0.07–0.1,35
Orlando,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.91,0.85,0.97,0.85–0.97,0.2,0.18,0.22,0.18–0.22,36
Denver,CO,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.9,0.88,0.92,0.88–0.92,0.2,0.19,0.2,0.19–0.2,37
Louisville,KY,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.82,0.78,0.87,0.78–0.87,0.03,0.03,0.04,0.03–0.04,38
Baton Rouge,LA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.8,0.73,0.88,0.73–0.88,0.26,0.21,0.3,0.21–0.3,39
Columbus,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.79,0.76,0.82,0.76–0.82,0.04,0.03,0.04,0.03–0.04,40
Tampa,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.76,0.72,0.8,0.72–0.8,0.18,0.17,0.19,0.17–0.19,41
San Antonio,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.75,0.73,0.78,0.73–0.78,0.07,0.06,0.07,0.06–0.07,42
Norfolk,VA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.75,0.68,0.81,0.68–0.81,0.17,0.13,0.21,0.13–0.21,43
Nashville,TN,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.74,0.72,0.76,0.72–0.76,0.06,0.05,0.06,0.05–0.06,44
Durham,NC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.7,0.67,0.73,0.67–0.73,0.12,0.11,0.12,0.11–0.12,45
Charleston,SC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.67,0.63,0.7,0.63–0.7,0.09,0.08,0.1,0.08–0.1,46
Raleigh,NC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.66,0.63,0.69,0.63–0.69,0.14,0.13,0.15,0.13–0.15,47
Boise,ID,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.65,0.62,0.67,0.62–0.67,0.12,0.12,0.13,0.12–0.13,48
Little Rock,AR,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.62,0.56,0.68,0.56–0.68,0.01,0.01,0.01,0.01–0.01,49
Oklahoma City,OK,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.62,0.61,0.63,0.61–0.63,0.03,0.03,0.03,0.03–0.03,50
Fort Worth,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.6,0.59,0.61,0.59–0.61,0.09,0.09,0.1,0.09–0.1,51
Colorado Springs,CO,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.57,0.54,0.59,0.54–0.59,0.08,0.08,0.09,0.08–0.09,52
Mesa,AZ,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.55,0.53,0.58,0.53–0.58,0.05,0.04,0.05,0.04–0.05,53
Wilmington,NC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.55,0.52,0.58,0.52–0.58,0.01,0.01,0.01,0.01–0.01,54
Phoenix,AZ,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.5,0.49,0.51,0.49–0.51,0.05,0.04,0.05,0.04–0.05,55
El Paso,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.49,0.47,0.51,0.47–0.51,0.06,0.06,0.07,0.06–0.07,56
Indianapolis,IN,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"4,000/sq. mi.","$80,000",0.42,0.39,0.45,0.39–0.45,0.01,0.01,0.02,0.01–0.02,57
Miami,FL,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",3.49,3.24,3.75,3.24–3.75,1.33,1.21,1.45,1.21–1.45,1
San Francisco,CA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",3.45,3.03,3.87,3.03–3.87,1.01,0.83,1.2,0.83–1.2,2
Philadelphia,PA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2.88,2.57,3.2,2.57–3.2,0.22,0.17,0.28,0.17–0.28,3
Pittsburgh,PA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2.74,2.2,3.28,2.2–3.28,1.07,0.69,1.46,0.69–1.46,4
Oakland,CA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2.73,2.46,3.01,2.46–3.01,0.43,0.37,0.49,0.37–0.49,5
Los Angeles,CA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2.58,2.53,2.62,2.53–2.62,0.81,0.79,0.83,0.79–0.83,6
Boston,MA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2.49,2.09,2.89,2.09–2.89,1.24,0.92,1.56,0.92–1.56,7
New York,NY,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2.37,2.3,2.45,2.3–2.45,0.67,0.64,0.71,0.64–0.71,8
Honolulu,HI,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2.18,2.12,2.25,2.12–2.25,0.7,0.67,0.72,0.67–0.72,9
San Jose,CA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2.15,1.69,2.61,1.69–2.61,0.35,0.18,0.52,0.18–0.52,10
Providence,RI,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2.13,1.6,2.65,1.6–2.65,0.15,0.1,0.19,0.1–0.19,11
San Diego,CA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2.05,1.95,2.15,1.95–2.15,0.63,0.59,0.67,0.59–0.67,12
Seattle,WA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2.03,1.96,2.11,1.96–2.11,0.61,0.57,0.65,0.57–0.65,13
Boulder,CO,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",2,1.75,2.26,1.75–2.26,0.47,0.4,0.55,0.4–0.55,14
St. Paul,MN,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.96,1.64,2.29,1.64–2.29,0.16,0.13,0.19,0.13–0.19,15
Fort Lauderdale,FL,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.91,1.71,2.12,1.71–2.12,0.51,0.43,0.59,0.43–0.59,16
Buffalo,NY,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.79,1.28,2.3,1.28–2.3,0.54,0.28,0.79,0.28–0.79,17
Cleveland,OH,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.68,1.53,1.83,1.53–1.83,0.57,0.51,0.64,0.51–0.64,18
Houston,TX,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.56,1.5,1.63,1.5–1.63,0.29,0.27,0.31,0.27–0.31,19
Baltimore,MD,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.52,1.18,1.86,1.18–1.86,0.72,0.47,0.97,0.47–0.97,20
Anaheim,CA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.5,1.34,1.67,1.34–1.67,0.58,0.49,0.67,0.49–0.67,21
Albuquerque,NM,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.5,1.42,1.58,1.42–1.58,0.1,0.09,0.11,0.09–0.11,22
Cincinnati,OH,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.46,1.37,1.54,1.37–1.54,0.23,0.2,0.25,0.2–0.25,23
Sacramento,CA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.42,1.35,1.49,1.35–1.49,0.42,0.39,0.45,0.39–0.45,24
Atlanta,GA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.3,1.25,1.36,1.25–1.36,0.39,0.36,0.43,0.36–0.43,25
Portland,OR,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.29,1.26,1.32,1.26–1.32,0.49,0.47,0.5,0.47–0.5,26
Ann Arbor,MI,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.27,1.09,1.45,1.09–1.45,0.2,0.14,0.26,0.14–0.26,27
Sioux Falls,SD,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.23,0.97,1.5,0.97–1.5,0.05,0.02,0.07,0.02–0.07,28
Austin,TX,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.23,1.19,1.28,1.19–1.28,0.22,0.21,0.24,0.21–0.24,29
Spokane,WA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.15,1.07,1.24,1.07–1.24,0.08,0.07,0.08,0.07–0.08,30
Reno,NV,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.12,0.94,1.3,0.94–1.3,0.37,0.23,0.5,0.23–0.5,31
Jacksonville,FL,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1.1,1.06,1.14,1.06–1.14,0.16,0.15,0.16,0.15–0.16,32
Omaha,NE,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1,0.94,1.07,0.94–1.07,0.03,0.02,0.03,0.02–0.03,33
Orlando,FL,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",1,0.95,1.05,0.95–1.05,0.21,0.19,0.23,0.19–0.23,34
New Orleans,LA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.97,0.94,1.01,0.94–1.01,0.12,0.11,0.13,0.11–0.13,35
Tulsa,OK,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.96,0.87,1.05,0.87–1.05,0.09,0.07,0.1,0.07–0.1,36
Denver,CO,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.93,0.91,0.95,0.91–0.95,0.2,0.19,0.21,0.19–0.21,37
Baton Rouge,LA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.89,0.81,0.97,0.81–0.97,0.25,0.21,0.29,0.21–0.29,38
Tampa,FL,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.83,0.8,0.86,0.8–0.86,0.18,0.17,0.19,0.17–0.19,39
Nashville,TN,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.82,0.8,0.83,0.8–0.83,0.06,0.06,0.07,0.06–0.07,40
Columbus,OH,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.81,0.78,0.83,0.78–0.83,0.04,0.04,0.05,0.04–0.05,41
San Antonio,TX,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.8,0.78,0.82,0.78–0.82,0.07,0.07,0.08,0.07–0.08,42
Louisville,KY,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.79,0.75,0.83,0.75–0.83,0.03,0.03,0.04,0.03–0.04,43
Norfolk,VA,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.76,0.71,0.81,0.71–0.81,0.17,0.14,0.2,0.14–0.2,44
Charleston,SC,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.75,0.71,0.78,0.71–0.78,0.09,0.09,0.1,0.09–0.1,45
Little Rock,AR,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.73,0.67,0.79,0.67–0.79,0.01,0.01,0.01,0.01–0.01,46
Raleigh,NC,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.72,0.68,0.75,0.68–0.75,0.14,0.13,0.15,0.13–0.15,47
Durham,NC,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.71,0.69,0.73,0.69–0.73,0.1,0.1,0.11,0.1–0.11,48
Boise,ID,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.7,0.68,0.71,0.68–0.71,0.12,0.12,0.13,0.12–0.13,49
Oklahoma City,OK,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.68,0.67,0.69,0.67–0.69,0.03,0.03,0.03,0.03–0.03,50
Fort Worth,TX,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.62,0.61,0.63,0.61–0.63,0.09,0.09,0.09,0.09–0.09,51
Mesa,AZ,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.6,0.57,0.62,0.57–0.62,0.06,0.05,0.07,0.05–0.07,52
Colorado Springs,CO,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.58,0.56,0.6,0.56–0.6,0.08,0.07,0.08,0.07–0.08,53
Wilmington,NC,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.57,0.55,0.59,0.55–0.59,0.01,0.01,0.01,0.01–0.01,54
Phoenix,AZ,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.55,0.55,0.56,0.55–0.56,0.05,0.05,0.05,0.05–0.05,55
El Paso,TX,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.55,0.53,0.56,0.53–0.56,0.07,0.06,0.07,0.06–0.07,56
Indianapolis,IN,Single-family,"Single-family, 2,000 sq. ft.",1,2000,"4,000/sq. mi.","$80,000",0.44,0.41,0.47,0.41–0.47,0.01,0.01,0.02,0.01–0.02,57
San Francisco,CA,Single-family,"Single-family, 2,800 sq. ft.",1,2800,"4,000/sq. mi.","$80,000",3.81,3.37,4.24,3.37–4.24,1.14,0.94,1.33,0.94–1.33,1
Miami,FL,Single-family,"Single-family, 2,800 sq. ft.",1,2800,"4,000/sq. mi.","$80,000",3.56,3.3,3.81,3.3–3.81,1.41,1.28,1.54,1.28–1.54,2
Philadelphia,PA,Single-family,"Single-family, 2,800 sq. ft.",1,2800,"4,000/sq. mi.","$80,000",3.05,2.73,3.37,2.73–3.37,0.23,0.18,0.29,0.18–0.29,3
Oakland,CA,Single-family,"Single-family, 2,800 sq. ft.",1,2800,"4,000/sq. mi.","$80,000",2.9,2.59,3.21,2.59–3.21,0.46,0.39,0.54,0.39–0.54,4
Pittsburgh,PA,Single-family,"Single-family, 2,800 sq. ft.",1,2800,"4,000/sq. mi.","$80,000",2.76,2.25,3.27,2.25–3.27,0.97,0.57,1.36,0.57–1.36,5
Los Angeles,CA,Single-family,"Single-family, 2,800 sq. ft.",1,2800,"4,000/sq. mi.","$80,000",2.63,2.59,2.67,2.59–2.67,0.78,0.76,0.8,0.76–0.8,6
