City,State,Housing type,Units,Sq. ft. per unit,Population density,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Baltimore,MD,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.4,1.1,1.71,1.1–1.71,0.67,0.43,0.92,0.43–0.92,25
Atlanta,GA,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.38,1.33,1.44,1.33–1.44,0.4,0.36,0.44,0.36–0.44,26
Reno,NV,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.33,1.12,1.55,1.12–1.55,0.4,0.26,0.55,0.26–0.55,27
Austin,TX,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.31,1.26,1.35,1.26–1.35,0.24,0.23,0.26,0.23–0.26,28
Sioux Falls,SD,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.27,0.99,1.55,0.99–1.55,0.04,0.02,0.07,0.02–0.07,29
Ann Arbor,MI,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.25,1.07,1.44,1.07–1.44,0.18,0.12,0.24,0.12–0.24,30
Spokane,WA,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.23,1.13,1.33,1.13–1.33,0.08,0.07,0.09,0.07–0.09,31
Jacksonville,FL,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.15,1.11,1.19,1.11–1.19,0.15,0.14,0.16,0.14–0.16,32
Orlando,FL,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.12,1.07,1.17,1.07–1.17,0.23,0.21,0.25,0.21–0.25,33
New Orleans,LA,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.04,1,1.08,1–1.08,0.13,0.12,0.15,0.12–0.15,34
Tulsa,OK,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.03,0.94,1.11,0.94–1.11,0.09,0.08,0.1,0.08–0.1,35
Omaha,NE,Single-family,1,2800,"4,000/sq. mi.","$80,000",1,0.94,1.07,0.94–1.07,0.03,0.03,0.03,0.03–0.03,36
Baton Rouge,LA,Single-family,1,2800,"4,000/sq. mi.","$80,000",1,0.92,1.08,0.92–1.08,0.25,0.21,0.29,0.21–0.29,37
